## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	126819	410189249	2310254	518875	73650	76797776	56912579	0.187286	3019225352

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1295.0	0	1	0	0
1309.0	0	0	0	1
1311.0	0	1	0	0
1327.0	0	0	0	1
1330.0	0	1	0	0
1354.0	0	0	0	1
1359.0	0	1	0	0
1369.0	0	0	0	1
1370.0	0	1	0	0
1373.0	0	0	0	1
1374.0	0	1	0	0
1376.0	0	0	0	1
1377.0	0	1	0	1
1380.0	0	1	0	0
1381.0	0	0	0	1
1384.0	0	1	0	0
1406.0	0	0	0	1
1408.0	0	0	0	1
1412.0	0	2	0	0
1427.0	0	1	0	1
1439.0	0	0	0	1
1441.0	0	1	0	0
1481.0	0	0	0	1
1483.0	0	1	0	0
1491.0	0	0	0	1
1493.0	0	1	0	1
1494.0	0	1	0	0
1528.0	0	0	0	1
1532.0	0	1	0	0
1534.0	0	0	0	1
1535.0	0	0	0	1
1537.0	0	1	0	0
1538.0	0	1	0	0
1561.0	0	0	0	1
1563.0	0	1	0	0
1604.0	0	0	0	1
1608.0	0	1	0	0
1625.0	0	0	0	1
1629.0	0	0	0	1
1630.0	0	0	0	1
1631.0	0	2	0	0
1633.0	0	1	0	0
1642.0	0	0	0	1
1644.0	0	1	0	0
1659.0	0	0	0	1
1663.0	0	1	0	0
1693.0	0	0	0	1
1694.0	0	1	0	0
1723.0	0	0	0	1
1726.0	0	1	0	0
1749.0	0	0	0	1
1750.0	0	1	0	0
1762.0	0	1	0	1
1821.0	0	0	0	1
1823.0	0	1	0	0
1834.0	0	0	0	1
1836.0	0	1	0	0
1876.0	0	0	0	1
1881.0	0	1	0	0
1885.0	0	0	0	1
1887.0	0	1	0	0
1896.0	0	0	0	1
1898.0	0	1	0	0
1914.0	0	0	0	1
1920.0	0	1	0	0
1944.0	0	0	0	1
1945.0	0	1	0	0
1967.0	0	0	0	1
1974.0	0	1	0	0
2102.0	0	0	0	1
2107.0	0	1	0	0
2145.0	0	0	0	1
2152.0	0	1	0	0
2191.0	0	0	0	1
2193.0	0	1	0	0
2253.0	0	0	0	1
2255.0	0	1	0	0
2295.0	0	0	0	1
2298.0	0	1	0	0
2336.0	0	0	0	1
2338.0	0	1	0	0
2430.0	0	0	0	1
2433.0	0	1	0	0
2534.0	0	0	0	1
2540.0	0	1	0	0
2593.0	0	0	0	1
2598.0	0	1	0	0
2707.0	0	1	0	1
2710.0	0	1	0	1
2763.0	0	0	0	1
2764.0	0	1	0	0
2766.0	0	1	0	1
2783.0	0	0	0	1
2785.0	0	1	0	0
2820.0	0	0	0	1
2823.0	0	1	0	0
3150.0	0	0	0	1
3154.0	0	1	0	0
3226.0	0	0	0	1
3229.0	0	1	0	0
3279.0	0	1	0	1
3447.0	0	0	0	1
3455.0	0	1	0	0
3489.0	0	0	0	1
3493.0	0	1	0	0
4021.0	0	0	0	1
4023.0	0	1	0	0
4126.0	0	0	0	1
4128.0	0	1	0	0
4173.0	0	0	0	1
4175.0	0	1	0	0
4989.0	0	0	0	1
4994.0	0	1	0	0
5145.0	0	0	0	1
5147.0	0	1	0	0
5335.0	0	1	0	1
6105.0	0	0	0	1
6106.0	0	1	0	0
6301.0	0	0	0	1
6314.0	0	1	0	0
6639.0	0	0	0	1
6658.0	0	1	0	0
7147.0	0	0	0	1
7150.0	0	1	0	0
7763.0	0	0	0	1
7780.0	0	1	0	0
7804.0	0	0	0	1
7814.0	0	1	0	0
8290.0	0	0	0	1
8301.0	0	1	0	0
9180.0	0	0	0	1
9192.0	0	1	0	0
10013.0	0	0	0	1
10030.0	0	1	0	0
11701.0	0	0	0	1
11713.0	0	1	0	0
12113.0	0	0	0	1
12133.0	0	1	0	0
12545.0	0	0	0	1
12563.0	0	0	0	1
12565.0	0	1	0	0
12586.0	0	1	0	0
12770.0	0	0	0	1
12800.0	0	1	0	0
12901.0	0	0	0	1
12922.0	0	1	0	0
13010.0	0	0	0	1
13033.0	0	1	0	0
13402.0	0	0	0	1
13421.0	0	1	0	0
13472.0	0	0	0	1
13496.0	0	1	0	0
13596.0	0	0	0	1
13615.0	0	1	0	0
14265.0	0	0	0	1
14283.0	0	1	0	0
14493.0	0	0	0	1
14512.0	0	1	0	0
14740.0	0	0	0	1
14775.0	0	1	0	0
15355.0	0	0	0	1
15376.0	0	1	0	0
16350.0	0	0	0	1
16375.0	0	1	0	0
16524.0	0	0	0	1
16550.0	0	1	0	0
17236.0	0	0	0	1
17272.0	0	1	0	0
18999.0	0	0	0	1
19044.0	0	1	0	0
19337.0	0	0	0	1
19349.0	0	1	0	0
19493.0	0	0	0	1
19538.0	0	1	0	0
24313.0	0	0	0	1
24375.0	0	1	0	0
26571.0	0	0	0	1
26587.0	0	1	0	0
26779.0	0	0	0	1
26859.0	0	1	0	0
29770.0	0	0	0	1
29873.0	0	1	0	0
34639.0	0	0	0	1
34731.0	0	1	0	0
35473.0	0	0	0	1
35561.0	0	1	0	0
45497.0	0	0	0	1
45643.0	0	1	0	0
72669.0	0	0	0	1
72895.0	0	1	0	0
109323.0	0	0	0	1
109765.0	0	1	0	0
143336.0	0	0	0	1
143973.0	0	1	0	0
337189.0	0	1	0	1
606835.0	0	1	0	1
